"CircleName","RegionName","DivisionName","OfficeName","Pincode","OfficeType","Delivery","District","StateName","Latitude","Longitude"
"Kerala Circle","Kochi Region","Trichur Division","NODAL DELIVERY CENTER, THRISSUR","680001","PO","Delivery","THRISSUR","KERALA","10.30439668","76.12562572"
"Kerala Circle","Calicut Region","Cannanore Division","Madakkara B.O","670301","BO","Delivery","KANNUR","KERALA","11.9610706","75.2976672"
"Kerala Circle","Kochi Region","Ernakulam Division","Kakkanad NDC","682052","PO","Delivery","ERNAKULAM","KERALA","10.0212","76.3438"
"Kerala Circle","Kochi Region","Ernakulam Division","Kalamassery Development Plot BO","683104","BO","Delivery","ERNAKULAM","KERALA","10.8505159","76.2710832"
"Kerala Circle","Kochi Region","Ernakulam Division","Rajagiri BO","683104","BO","Delivery","ERNAKULAM","KERALA","10.8505159","76.2710832"
"Kerala Circle","Kochi Region","Ernakulam Division","Vallarpadam BO","682504","BO","Delivery","ERNAKULAM","KERALA","9.9965631","76.2508086"
"Kerala Circle","Kochi Region","Ernakulam Division","Kumbalam BO","682506","BO","Delivery","ERNAKULAM","KERALA","9.9071978","76.3058151"
"Kerala Circle","Kochi Region","Ernakulam Division","Bhaktanandapuram BO","682308","BO","Delivery","ERNAKULAM","KERALA","9.9503105","76.4296746"
"Kerala Circle","Kochi Region","Ernakulam Division","Ezhakkaranadu South BO","682308","BO","Delivery","ERNAKULAM","KERALA","9.9232429","76.4391220"
"Kerala Circle","Kochi Region","Ernakulam Division","Meempara BO","682308","BO","Delivery","ERNAKULAM","KERALA","9.9503105","76.4296746"
"Kerala Circle","Kochi Region","Ernakulam Division","Kokkappilly BO","682305","BO","Delivery","ERNAKULAM","KERALA","9.9437428","76.4014256"
"Kerala Circle","Kochi Region","Ernakulam Division","Amballur BO","682315","BO","Delivery","ERNAKULAM","KERALA","9.8674044","76.4009160"
"Kerala Circle","Kochi Region","Ernakulam Division","Paingarapilly BO","682314","BO","Delivery","ERNAKULAM","KERALA","9.9028771","76.3855166"
